peakid,pkname,location,heightm,heightf,region,restrict,pstatus,pyear,pexpid
SAUL,Saula,Manaslu Himal (ENE of Samagaon on Tibetan border),6235,20456,4,Opened in 2014,1,nan,None
YARA,Yala Chuli,Palchung Himal (SE of Changdi on Tibetan border),6236,20459,7,Opened in 2014,1,nan,None
RHIM,Rhimbu,Shringi Himal (S of Tobsar),6210,20374,4,Opened in 2014,1,nan,None
SANC,Sanctuary Peak,Kanjiroba Himal (N of Kanjiroba North),6207,20364,7,Opened in 2014,1,nan,None
LASA,Lasa,Byas Risi Himal (NNW of Nampa on Tibetan border),6189,20305,7,Opened in 2014,1,nan,None
PERI,Peri,Langtang Himal (SE of Langtang Ri on Tibetan border),6174,20256,3,Opened in 2014,2,2016,PERI16301
DWIJ,Dwijen Himal,Shringi Himal (NE of Ghap village on Tibetan border),6169,20240,4,Opened in 2014,1,nan,None
JABR,Jabou Ri,Rolwaling Himal (S of Tarkago),6166,20230,2,Opened in 2014,2,2015,JABR15301
BEDG,Beding Go,Rolwaling Himal (N of Beding village on Tibetan border),6125,20095,2,Opened in 2014,2,2015,BEDG15301
TAKN,Takphu North,Nalakankar Himal (on W Nepal/Tibetan border),6142,20151,7,Opened in 2014,2,2016,TAKN16301
BHUL,Bhulu Lhasa,Kanjiroba Himal (NNW of Kanjiroba North),6102,20020,7,Opened in 2014,2,1964,BHUL64301
LNAK,Lhonak,Janak Himal (WNW of Drohmo),6070,19915,1,Opened in 2014,1,nan,None
ROLM,Rolmi,Shringi Himal (S of Tobsar),6056,19869,4,Opened in 2014,2,2017,ROLM17301
ACHN,Aichyn,Chandi Himal (SW of Changwathang),6055,19865,7,Opened in 2014,2,2015,ACHN15301
ARDN,Ardang,Phupharka Himal (NW of Simikot),6034,19797,7,Opened in 2014,2,2019,ARDN19301
LUNG,Lungchhung,Palchung Himal (NE of Kanjiroba on Tibetan border),6043,19826,7,Opened in 2014,1,nan,None
KHNG,Khung,Palchung Himal (NE of Kanjiroba on Tibetan border),6024,19764,7,Opened in 2014,1,nan,None
CHND,Chandi Himal,Chandi Himal (NE of Simikot on Tibetan border),6142,20151,7,Opened in 2002,1,nan,None
KALI,Kali Himal,Khumbu Himal (NW of Baruntse),6985,22917,2,Opened in 2002,2,1983,KALI83101
DHEC,Dhechyan Khang,Damodar Himal (ESE of Gaugiri on Tibetan border),6019,19747,5,Opened in 2014,2,2018,DHEC18101
EKRA,Ek Rate Danda,"Khumbu Himal (in Hongku Valley, S of Chamlang)",6213,20384,2,Opened in 2002,1,nan,None
GHYN,Ghyun Himal I,Mustang Himal (N of Ghyun Khola on Tibetan border),6110,20046,6,Opened in 2014,1,nan,None
GORH,Gorakh Himal,Gorakh Himal (NE of Simikot on Tibetan border),6198,20335,7,Opened in 2002,1,nan,None
HONK,Hongku,"Khumbu Himal (in Hongku Valley, W of Hongku Chuli)",6764,22192,2,Opened in 2003,2,2015,HONK15301
KARK,Karko,Saipal Himal (WNW of Saipal),6015,19734,7,Opened in 2002,1,nan,None
KARS,Karsang Kang,Damodar Himal (NE of Saribung),6225,20423,5,Opened in 2014,2,2008,KARS08301
KHAY,Khayang,Manaslu Himal (E of Samdo Peak on Tibetan border),6186,20295,4,Opened in 2003,1,nan,None
GYLZ,Gyalzen Peak,Jugal Himal (SE of Leonpo Gang on Tibetan border),6151,20180,3,None,2,2019,GYLZ19101
LSAM,Lungsampa,Khumbu Himal (S of Nangpai Gosum II),6500,21325,2,Opened in 2002,2,2014,None
MERS,Mera South,Khumbu Himal (SW of Mera),6064,19895,2,Opened in 2002,1,nan,None
PASH,Pashuwo,Ganesh Himal (N of Lampo on Tibetan border),6177,20266,4,Opened in 2003,1,nan,None
SATO,Sat Peak,Ohmi Kangri Himal (N of Sharphu range),6164,20223,1,Opened in 2002,1,nan,None
TSKP,Tso Karpo,"Kanjiroba Himal (E of Kanjiroba, W of Tso Karpo Kang)",6518,21385,7,Opened in 2002,1,nan,None
SPH2,Sharphu II,Ohmi Kangri Himal (WNW of Kangchenjunga),6328,20761,1,Opened in 2002,2,201,SPH218301
SPH3,Sharphu III,Ohmi Kangri Himal (WNW of Kangchenjunga),6220,20407,1,Opened in 2002,1,nan,None
SPH4,Sharphu IV,Ohmi Kangri Himal (WNW of Kangchenjunga),6172,20249,1,Opened in 2002,2,1962,SPH462101
SPH5,Sharphu V,Ohmi Kangri Himal (WNW of Kangchenjunga),6158,20203,1,Opened in 2002,1,nan,None
SPH6,Sharphu VI,Ohmi Kangri Himal (WNW of Kangchenjunga),6076,19934,1,Opened in 2002,1,nan,None
MNSS,Mansail South,Mustang Himal (S of Mansail on Tibetan border),6248,20499,6,Opened in 2014,1,nan,None
GDNG,Gave Ding,Changla Himal (N of Lachama Chuli on Tibetan border),6581,21591,7,Requires permit for Lachama Chuli,2,2015,GDNG15301
NGO3,Ngojumba Kang III,Khumbu Himal (NE of Cho Oyu on Tibetan border),7681,25200,2,Opened in 2014 as Hillary Peak,1,nan,None
KIMS,Kimshung,Langtang Himal (NE of Langtang Lirung),6781,22247,3,None,1,nan,None
PAWR,Pawar Central,Pawar Himal (N of Larkya La),6621,21722,5,None,2,2015,PAWR15101
NGOR,Nagoru,Peri Himal (NW of Himlung Himal),6165,20226,5,None,2,2016,NGOR16301
SALD,Saldim,Makalu Himal (ENE of Shershon village on Tibetan border),6374,20912,2,Opened in 2003,1,nan,None
LANY,Langtang Yubra,Langtang Himal (ENE of Langtang Lirung),6048,19843,3,Opened in 2016,1,2018,LANY18301
